Treatment,Replicate,SamplingDate,PlateDilution,PictureDate(days since plating),White,Purple S,Purple wr
Shaken,2,11-Sep,-6,9,88,13,0
Shaken,3,11-Sep,-6,9,70,39,0
Shaken,1,11-Sep,-7,9,44,1,0
Shaken,2,11-Sep,-7,9,32,1,0
Shaken,3,11-Sep,-7,9,26,14,0
static,1,11-Sep,-5,9,170,103,0
static,2,11-Sep,-5,9,NAN,NAN,NAN
static,3,11-Sep,-5,9,6,10,3
static,1,11-Sep,-6,9,78,62,0
static,2,11-Sep,-6,9,93,22,1
static,3,11-Sep,-6,9,0,0,1
static,1,11-Sep,-7,9,9,8,7
static,2,11-Sep,-7,9,42,11,1
static,3,11-Sep,-7,9,0,5,0
Shaken,1,11-Sep,-5,10,NAN,NAN,NAN
Shaken,2,11-Sep,-5,10,NAN,NAN,NAN
Shaken,3,11-Sep,-5,10,NAN,NAN,NAN
Shaken,1,11-Sep,-6,10,428,13,0
Shaken,2,11-Sep,-6,10,88,13,0
Shaken,3,11-Sep,-6,10,70,39,0
Shaken,1,11-Sep,-7,10,44,1,0
Shaken,2,11-Sep,-7,10,32,1,0
Shaken,3,11-Sep,-7,10,26,14,0
static,1,11-Sep,-5,10,170,103,0
static,2,11-Sep,-5,10,NAN,NAN,NAN
static,3,11-Sep,-5,10,6,10,3
static,1,11-Sep,-6,10,78,62,0
static,2,11-Sep,-6,10,93,22,1
static,3,11-Sep,-6,10,0,0,1
static,1,11-Sep,-7,10,9,8,7
static,2,11-Sep,-7,10,42,11,1
static,3,11-Sep,-7,10,0,5,0
Shaken,1,16-Sep,-5,1,0,0,0
Shaken,2,16-Sep,-5,1,0,0,0
Shaken,3,16-Sep,-5,1,0,0,0
Shaken,1,16-Sep,-6,1,0,0,0
Shaken,2,16-Sep,-6,1,0,0,0
Shaken,3,16-Sep,-6,1,0,0,0
Shaken,1,16-Sep,-7,1,0,0,0
Shaken,2,16-Sep,-7,1,0,0,0
Shaken,3,16-Sep,-7,1,0,0,0
static,1,16-Sep,-5,1,0,0,0
static,2,16-Sep,-5,1,0,0,0
static,3,16-Sep,-5,1,0,0,0
static,1,16-Sep,-6,1,0,0,0
static,2,16-Sep,-6,1,0,0,0
static,3,16-Sep,-6,1,0,0,0
static,1,16-Sep,-7,1,0,0,0
static,2,16-Sep,-7,1,0,0,0
static,3,16-Sep,-7,1,0,0,0
Shaken,1,16-Sep,-5,2,49,0,0
Shaken,2,16-Sep,-5,2,69,0,0
Shaken,3,16-Sep,-5,2,72,0,0
Shaken,1,16-Sep,-6,2,4,0,0
Shaken,2,16-Sep,-6,2,6,0,0
Shaken,3,16-Sep,-6,2,7,0,0
Shaken,1,16-Sep,-7,2,0,0,0
Shaken,2,16-Sep,-7,2,0,0,0
Shaken,3,16-Sep,-7,2,0,0,0
static,1,16-Sep,-5,2,17,0,0
static,2,16-Sep,-5,2,4,0,0
static,3,16-Sep,-5,2,13,0,0
static,1,16-Sep,-6,2,2,0,0
static,2,16-Sep,-6,2,0,0,0
static,3,16-Sep,-6,2,0,0,0
static,1,16-Sep,-7,2,0,0,0
